Sygnatura czasowa,Pseudonim,Tytuł atrakcji,Typ atrakcji,Czas trwania atrakcji (w godzinach),Opis atrakcji dla uczestników,Opis atrakcji dla organizatora (jeśli czujesz potrzebę dokładniejszego opisu przebiegu),Czy atrakcja zawiera treści dla dorosłych?,"Dyspozycyjność (preferowane godziny trwania atrakcji)

Zaznaczasz wszystkie, które Ci pasują.",Czy potrzebujesz laptopa?,Czy potrzebujesz głośników?,Czy potrzebujesz noclegu?,Miejsce na wszelkie inne uwagi,Doświadczenie/referencje,Priorytet atrakcji (Tier 1–3),Szacowana frekwencja,Wymagane tagi sali,Wymagane wyposażenie,Auto-planowanie,Klauzula RODO:
2026-07-12 17:12:26,Retro Club,Ceremonia otwarcia konwentu,Wydarzenie,30 min,"Ceremonia otwarcia konwentu is a lightly competitive wydarzenie for fans of seasonal anime. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Ceremonia otwarcia konwentu: prepare a visible queue line; confirm equipment before opening the room.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Investor Intranet Analyst with 12 years of community experience and 11 previous fan-event sessions.,1,200,main_stage,"microphone,large_screen",tak,Wyrażam zgodę
2026-07-21 17:33:25,Jordi64,Pokaz: idol culture,Pokaz,1,"Pokaz: idol culture is a energetic pokaz for players who enjoy chaotic quizzes. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Pokaz: idol culture: check projector input before doors open; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Human Data Designer with 8 years of community experience and 5 previous fan-event sessions.,2,100,main_stage,microphone,tak,Wyrażam zgodę
2026-07-09 01:18:57,Idol Lab,Quiz 2025: isekai tropes,Konkurs,2,"Quiz 2025: isekai tropes is a deep-dive konkurs for people curious about Japanese pop culture. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2025: isekai tropes: leave space near the door for late arrivals; confirm equipment before opening the room.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,National Accounts Architect with 10 years of community experience and 20 previous fan-event sessions.,1,200,"main_stage,loud_audio","microphone,speakers,large_screen",tak,Wyrażam zgodę
2026-07-23 13:54:10,Toby Draws,Pokaz: isekai tropes,Pokaz,1,"Pokaz: isekai tropes is a nostalgic pokaz for participants who want a relaxed convention break. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Pokaz: isekai tropes: check projector input before doors open; avoid placing another loud event next door.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Product Markets Coordinator with 9 years of community experience and 18 previous fan-event sessions.,1,200,"main_stage,loud_audio","speakers,microphone",tak,Wyrażam zgodę
2026-07-02 03:33:54,Shyanne Satterfield,Anisong night: convention survival,Koncert,1,"Anisong night: convention survival is a lightly competitive koncert for fans of seasonal anime. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Anisong night: convention survival: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Global Communications Associate with 6 years of community experience and 24 previous fan-event sessions.,1,200,"main_stage,loud_audio","internet,speakers,microphone,large_screen",tak,Wyrażam zgodę
2026-07-11 15:54:12,Mrs. Violette Quigley,Wydarzenie specjalne: polski dubbing,Wydarzenie,1,"Wydarzenie specjalne: polski dubbing is a nostalgic wydarzenie for people curious about Japanese pop culture. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Wydarzenie specjalne: polski dubbing: keep a short microphone test before start; avoid placing another loud event next door.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,International Brand Planner with 4 years of community experience and 13 previous fan-event sessions.,2,100,"main_stage,large_screen","projector,speakers",tak,Wyrażam zgodę
2026-07-05 08:45:33,Leo_Hartmann55,Ceremonia zamknięcia i nagrody,Wydarzenie,1,"Ceremonia zamknięcia i nagrody is a nostalgic wydarzenie for players who enjoy chaotic quizzes. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Ceremonia zamknięcia i nagrody: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,niedziela (01/10) 12:00 - 15:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Customer Quality Engineer with 7 years of community experience and 11 previous fan-event sessions.,1,200,main_stage,microphone,tak,Wyrażam zgodę
2026-07-11 08:03:58,Keith17,anime horror — pecto rem clarus thymum,Prelekcja,1,"anime horror — pecto rem clarus thymum is a lightly competitive prelekcja for fans of seasonal anime. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for anime horror — pecto rem clarus thymum: leave space near the door for late arrivals; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Investor Functionality Manager with 1 years of community experience and 7 previous fan-event sessions.,2,100,projector,projector,tak,Wyrażam zgodę
2026-07-23 09:23:24,Bernadine Weimann-D'Amore,Jak retro handheldy?,Prelekcja,1,"Jak retro handheldy? is a beginner-friendly prelekcja for participants who want a relaxed convention break. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Jak retro handheldy?: keep a short microphone test before start; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Product Data Agent with 4 years of community experience and 21 previous fan-event sessions.,2,100,projector,"projector,speakers",tak,Wyrażam zgodę
2026-07-28 04:08:23,Jesus Chan,Prelekcja: isekai tropes,Prelekcja,1,"Prelekcja: isekai tropes is a deep-dive prelekcja for participants who want a relaxed convention break. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: isekai tropes: leave space near the door for late arrivals; confirm equipment before opening the room.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Forward Research Supervisor with 6 years of community experience and 18 previous fan-event sessions.,2,100,projector,projector,tak,Wyrażam zgodę
